name,avgpoint,avg_price,num_reviews,topsis_score,rank
Phở Bò Gốc Gạo - Ngọc Hà,6.9,35000.0,18,0.8706635545702529,158
Paris Baguette - West Lake,7.2,35000.0,15,0.8814199100806568,104
TOUS les JOURS - Keangnam Landmark,6.9,282500.0,12,0.6491047017311095,421
Tiệm Gà Rán Số 19 - Hào Nam,7.5,125000.0,197,0.8258167718471052,289
ThaiExpress - Vincom Center Nguyễn Chí Thanh,6.4,50000.0,40,0.8471029255895421,250
Bún Mọc - Hàng Lược,7.4,37500.0,22,0.8876418085515123,81
Pepperonis Pizza - Hàng Trống,7.5,125000.0,68,0.8258167718471052,289
Vịt 29 - Thái Hà - Cơm Xôi Phở Cháo,7.1,160000.0,127,0.7824668597303855,350
50 Dessert - Dừa Dầm & Kem Bơ,5.8,20000.0,34,0.836936642240505,275
MIN - Lẩu Sạch & Chân Cánh Gà,7.8,125000.0,24,0.8328141668606963,284
Lẩu Nấm Ashima - Huỳnh Thúc Kháng,9.2,215000.0,16,0.7549628526031793,371
Stirling Steaks Vietnam,7.9,200000.0,17,0.7554884657213891,370
Sườn Mười - Sườn Nướng BBQ,7.5,199000.0,137,0.7498515783505879,376
Lẩu Phan - Buffet Bò Úc - Láng Hạ,7.3,125000.0,12,0.8209248462323959,303
Góc Đà Lạt - Lẩu Gà Lá É - Mễ Trì Hạ,9.2,250000.0,12,0.7154854029048839,393
Bánh Gối Lê Đại Hành,7.0,37500.0,64,0.8732797031027014,144
Bánh Rán Bà Huyền,7.3,27000.0,26,0.8878408728063685,80
Bánh Rán Hoàn - Thịt Xiên & Bánh Gà,7.6,15500.0,71,0.9019417738059011,49
Pepperonis Pizza - Trần Phú,7.0,125000.0,66,0.8133094818229928,310
Bánh Mì Hương Lan,7.3,32500.0,28,0.8859793489259198,87
Pizza 4P's - Pizza Kiểu Nhật - Ngõ Bảo Khánh,8.7,250000.0,13,0.7103826169024603,399
Grey Tea - Lê Ngọc Hân,8.3,45500.0,26,0.9155435184626398,28
Big Ben Cafe - Tuệ Tĩnh,6.8,40000.0,15,0.8652074240000411,184
Bánh Rán Cổ Truyền 52 - Hàng Chiếu,7.9,55000.0,20,0.8958106303109251,59
Royaltea - Lương Yên,7.8,45000.0,83,0.8983769413659226,53
Gà Rán KFC - Tây Sơn,6.7,59000.0,85,0.8528444784764507,232
Mì Gia Phúc Kiến,6.9,35000.0,19,0.8706635545702529,158
Lê Thịnh - Xôi Chè Phố Cổ,7.2,24000.0,16,0.8850586064012808,88
BBQ Cơm Sườn Phố Cổ - Trần Đại Nghĩa,4.5,60000.0,11,0.7815376451612549,351
King BBQ - Vua Nướng Hàn Quốc - Hồ Gươm Plaza,6.9,264000.0,42,0.6692960496388103,412
BBQ Garden - Phố Huế,7.1,350000.0,42,0.577811588276421,436
Ding Tea - Bạch Mai,6.4,42500.0,10,0.8502907370177967,239
Cowboy Jack's Saloon American Dining - Mipec Tower,7.5,150000.0,212,0.8011746607737267,325
Pizza Hut - Thái Thịnh,6.5,175000.0,17,0.7543593935529431,373
Tiệm Bánh Nhật Bản Laetitia - Trà Sữa Light Bulb - Nguyễn Hữu Huân,7.5,60000.0,13,0.8792027802983091,114
Hoa Quả Dầm Chúc Nguyên,8.6,35000.0,10,0.9325253847220168,20
Trà Sữa Tocotoco - AEON Mall Long Biên,5.7,42500.0,20,0.8266577582683484,286
Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,7.2,275000.0,16,0.6620853550188088,416
Master Tea 美茶 - Lò Đúc,7.0,38000.0,221,0.8730826391327863,145
Gà Rán Kuccu - Đỗ Quang,6.8,107500.0,77,0.8228432634666311,301
