name,avgpoint,avg_price,num_reviews
Lê Thịnh - Xôi Chè Phố Cổ,7.2,24000.0,16
BBQ Cơm Sườn Phố Cổ - Trần Đại Nghĩa,4.5,60000.0,11
King BBQ - Vua Nướng Hàn Quốc - Hồ Gươm Plaza,6.9,264000.0,42
Ding Tea - Bạch Mai,6.4,42500.0,10
Cowboy Jack's Saloon American Dining - Mipec Tower,7.5,150000.0,212
Pizza Hut - Thái Thịnh,6.5,175000.0,17
Hoa Quả Dầm Chúc Nguyên,8.6,35000.0,10
Trà Sữa Tocotoco - AEON Mall Long Biên,5.7,42500.0,20
Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,7.2,275000.0,16
Master Tea 美茶 - Lò Đúc,7.0,38000.0,221
Gà Rán Kuccu - Đỗ Quang,6.8,107500.0,77
Cơm Cháy Chà Bông Tý Chuột - Shop Online - Nguyễn Cao,10.0,82500.0,13
Ăn Vặt Tôn Thất Thiệp - Ốc Luộc & Chân Gà Chiên Giòn,6.8,16500.0,22
Cô Ngà - Bánh Mì Nem Khoai,8.0,25000.0,19
Gà rán và Mì Ý - Jollibee - Tô Hiệu,6.5,29500.0,77
Rộp Rộp - Cơm Cháy & Khô Gà Lá Chanh Online,7.9,100000.0,32
Phở Gà Đặc Biệt - Hàng Điếu,7.4,48000.0,22
Mì Hàn Quốc - Láng Hạ,7.4,160000.0,36
Bún Chả - Mai Hắc Đế,6.9,45000.0,12
Mì Tay To - Bà Triệu,7.3,215000.0,10
YiHeTang - Đệ Nhất Trà Sữa Nướng - Mỹ Đình,8.3,55000.0,24
Bánh Mì Bít Tết - Đền Lừ 2,6.9,35000.0,10
Chè Sầu Liên - 79 Trần Quốc Hoàn,6.3,22500.0,37
Tanka Quán - Chân Gà & Cánh Gà Nướng - Đê La Thành,8.0,30000.0,30
Trà Sữa Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Láng Hạ,6.8,47500.0,20
Bánh Ngọt Bùi Công Trung - Nguyễn Trung Trực,7.4,75000.0,13
"Quẩy Nóng, Bánh Gối - Nguyễn Lương Bằng",7.3,32500.0,49
Lan Béo - Bún Miến Ngan & Cháo Sườn Sụn,7.0,40000.0,17
Bún Ốc Bà Thoa - Bún Ốc Gia Truyền - 19 Kim Mã Thượng,7.1,35000.0,33
"Nem Lụi, Thịt Heo & Chân Gà - Hoàng Đạo Thúy",6.4,47500.0,15
Nem Lụi Huế - Ăn Là Like - Thụy Khuê,6.2,40000.0,109
Bún Ốc Thúy,6.2,42500.0,20
Gà Rán KFC - Nguyễn Trường Tộ,7.0,80000.0,14
Lotteria - Hàng Than,6.5,53500.0,26
Bún Ốc Sườn Cô Sáu,6.3,32500.0,33
Bánh Bao - Quán Thánh,6.6,30000.0,31
Kimbap - Little Korean Homemade,7.7,120000.0,18
Nhà Hàng Phương Nam - Món Ngon Miền Nam - Chùa Láng,6.8,175000.0,31
Linh - Mì Vằn Thắn & Bún Thang,7.6,32500.0,23
Lotteria - Kim Mã,7.1,53500.0,80
Cô Liên - Ăn Vặt Việt Hàn,7.1,30000.0,50
King BBQ - Vua Nướng Hàn Quốc - The Garden,6.3,250000.0,12
Chè Xoan - Chùa Láng,7.0,27500.0,33
